,0
0,1
1,1
2,1
3,0
4,1
5,1
6,1
7,1
8,0
9,1
10,1
11,1
12,1
13,0
14,0
15,1
16,1
17,1
18,1
19,0
20,1
21,0
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,0
36,0
37,1
38,1
39,1
40,1
41,1
42,1
43,0
44,0
45,1
46,1
47,0
48,0
49,0
50,0
51,1
52,1
53,1
54,1
55,0
56,1
57,0
58,1
59,1
60,1
61,0
62,1
63,0
64,0
65,1
66,1
67,1
68,0
69,1
70,1
71,0
72,1
73,0
74,1
75,1
76,1
77,1
78,1
79,0
80,0
81,1
82,1
83,0
84,0
85,1
86,1
87,0
88,1
89,1
90,1
91,1
92,1
93,0
94,1
95,1
96,1
97,1
98,0
99,0
100,1
101,0
102,1
103,0
104,0
105,0
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,0
116,0
117,1
118,1
119,0
120,0
121,1
122,1
123,0
124,1
125,0
126,0
127,1
128,1
129,0
130,1
131,1
132,1
133,0
134,1
135,0
136,1
137,1
138,1
139,1
140,0
141,0
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,0
151,1
152,1
153,1
154,1
155,1
156,0
157,1
158,1
159,1
160,0
161,1
162,1
163,1
164,1
165,1
166,0
167,1
168,1
169,0
170,0
171,1
172,0
173,1
174,1
175,0
176,1
177,0
178,1
179,0
180,0
181,1
182,1
183,0
184,1
185,0
186,0
187,0
188,1
189,1
190,1
191,1
192,1
193,0
194,0
195,1
196,0
197,1
198,1
199,0
200,0
201,1
202,0
203,0
204,1
205,1
206,0
207,1
208,1
209,1
210,0
211,1
212,0
213,1
214,1
215,0
216,1
217,1
218,1
219,1
220,1
221,0
222,1
223,1
224,1
225,0
226,0
227,1
228,1
229,0
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,0
242,1
243,0
244,0
245,1
246,1
247,1
248,0
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,0
257,0
258,0
259,1
260,1
261,0
262,1
263,1
264,0
265,0
266,1
267,1
268,0
269,1
270,1
271,0
272,1
273,1
274,0
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,0
284,1
285,1
286,1
287,1
288,1
289,0
290,1
291,1
292,1
293,0
294,1
295,1
296,1
297,0
298,1
299,0
300,0
301,0
302,0
303,1
304,0
305,1
306,0
307,1
308,0
309,1
310,0
311,1
312,1
313,1
314,1
315,0
316,1
317,1
318,0
319,0
320,0
321,0
322,1
323,1
324,1
325,0
326,1
327,1
328,1
329,1
330,0
331,1
332,1
333,1
334,1
335,0
336,0
337,1
338,1
339,1
340,0
341,1
342,0
343,1
344,1
345,0
346,1
347,1
348,0
349,0
350,1
351,0
352,0
353,0
354,0
355,1
356,1
357,1
358,0
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,0
370,0
371,0
372,0
373,1
374,1
375,1
376,1
377,0
378,0
379,0
380,0
381,0
382,0
383,1
384,1
385,0
386,1
387,0
388,1
389,1
390,0
391,1
392,1
393,0
394,1
395,1
396,1
397,1
398,1
399,0
400,1
401,1
402,0
403,0
404,1
405,1
406,1
407,1
408,1
409,0
410,1
411,0
412,1
413,1
414,1
415,0
416,1
417,1
418,0
419,1
420,0
421,0
422,1
423,1
424,1
425,1
426,0
427,1
428,0
429,0
430,0
431,0
432,0
433,1
434,1
435,1
436,1
437,1
438,1
439,1
440,0
441,0
442,1
443,1
444,1
445,0
446,1
447,1
448,1
449,1
450,0
451,1
452,1
453,0
454,0
455,1
456,0
457,1
458,1
459,0
460,1
461,1
462,1
463,1
464,1
465,1
466,0
467,0
468,1
469,1
470,0
471,1
472,1
473,1
474,0
475,1
476,0
477,1
478,0
479,1
480,0
481,0
482,1
483,1
484,1
485,1
486,1
487,1
488,1
489,0
490,1
491,1
492,0
493,1
494,1
495,0
496,1
497,1
498,0
499,1
500,1
501,1
502,0
503,1
504,0
505,0
506,1
507,0
508,1
509,1
510,1
511,1
512,1
513,0
514,1
515,1
516,0
517,1
518,0
519,0
520,0
521,0
522,1
523,1
524,1
525,0
526,1
527,0
528,1
529,0
530,1
531,1
532,1
533,0
534,0
535,0
536,1
537,1
538,1
539,0
540,1
541,1
542,1
543,1
544,1
545,1
546,0
547,1
548,0
549,1
550,1
551,0
552,1
553,1
554,0
555,0
556,1
557,0
558,1
559,0
560,1
561,1
562,1
563,0
564,1
565,1
566,0
567,0
568,1
569,1
570,0
571,1
572,1
573,1
574,1
575,1
576,1
577,0
578,1
579,1
580,0
581,0
582,1
583,1
584,1
585,1
586,0
587,1
588,1
589,1
590,1
591,1
592,0
593,0
594,1
595,1
596,0
597,1
598,1
599,1
600,1
601,0
602,1
603,1
604,1
605,1
606,0
607,1
608,0
609,0
610,1
611,1
612,1
613,0
614,1
615,1
616,0
617,1
618,1
619,1
620,1
621,0
622,1
623,1
624,0
625,1
626,0
627,1
628,1
629,0
630,0
631,1
632,1
633,1
634,1
635,1
636,0
637,1
638,1
639,1
640,0
641,0
642,0
643,1
644,1
645,1
646,1
647,0
648,1
649,1
650,0
651,1
652,1
653,1
654,1
655,0
656,1
657,1
658,1
659,1
660,1
661,0
662,0
663,0
664,1
665,1
666,1
667,1
668,0
669,1
670,1
671,1
672,1
673,1
674,1
675,0
676,1
677,1
678,0
679,1
680,1
681,1
682,1
683,0
684,1
685,0
686,1
687,1
688,1
689,0
690,1
691,1
692,0
693,0
694,1
695,1
696,1
697,1
698,1
699,0
700,1
701,1
702,1
703,1
704,1
705,1
706,1
707,1
708,1
709,1
710,0
711,1
712,1
713,0
714,0
715,0
716,1
717,1
718,1
719,0
720,1
721,0
722,1
723,0
724,1
725,0
726,1
727,0
728,1
729,1
730,1
731,1
732,0
733,1
734,1
735,1
736,1
737,1
738,0
739,1
740,1
741,1
742,1
743,0
744,1
745,1
746,0
747,1
748,0
749,1
750,0
751,0
752,1
753,1
754,1
755,1
756,0
757,0
758,0
759,1
760,0
761,1
762,1
763,1
764,1
765,1
766,1
767,1
768,1
769,1
770,1
771,1
772,1
773,1
774,1
775,1
776,1
777,1
778,1
779,1
780,1
781,1
782,1
783,1
784,0
785,1
786,1
787,0
788,0
789,1
790,0
791,0
792,0
793,0
794,1
795,0
796,1
797,1
798,1
799,1
800,1
801,1
802,1
803,1
804,1
805,1
806,1
807,1
808,0
809,1
810,1
811,1
812,1
