,0
0,0
1,0
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,0
10,0
11,0
12,1
13,1
14,1
15,1
16,1
17,0
18,1
19,0
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,0
28,1
29,1
30,1
31,0
32,0
33,1
34,1
35,1
36,1
37,0
38,1
39,1
40,1
41,1
42,1
43,0
44,1
45,0
46,0
47,1
48,1
49,1
50,0
51,1
52,1
53,0
54,0
55,1
56,1
57,1
58,0
59,1
60,1
61,0
62,1
63,0
64,0
65,0
66,0
67,1
68,1
69,0
70,1
71,1
72,1
73,0
74,1
75,1
76,1
77,1
78,0
79,1
80,0
81,1
82,1
83,0
84,0
85,1
86,0
87,1
88,1
89,1
90,1
91,0
92,1
93,1
94,1
95,1
96,0
97,0
98,0
99,1
100,1
101,1
102,0
103,1
104,0
105,1
106,1
107,0
108,1
109,0
110,1
111,1
112,1
113,1
114,0
115,1
116,0
117,0
118,0
119,1
120,1
121,1
122,1
123,0
124,1
125,0
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,0
134,0
135,1
136,1
137,1
138,0
139,0
140,1
141,1
142,0
143,0
144,1
145,1
146,1
147,1
148,0
149,1
150,0
151,1
152,1
153,1
154,0
155,1
156,0
157,1
158,0
159,1
160,1
161,1
162,1
163,0
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,0
172,0
173,1
174,1
175,1
176,0
177,1
178,1
179,0
180,1
181,1
182,1
183,1
184,1
185,0
186,0
187,0
188,0
189,0
190,0
191,1
192,0
193,0
194,1
195,1
196,0
197,0
198,1
199,1
200,0
201,1
202,0
203,0
204,1
205,0
206,1
207,1
208,1
209,0
210,0
211,0
212,1
213,1
214,0
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,0
223,1
224,0
225,1
226,0
227,0
228,1
229,1
230,0
231,1
232,1
233,0
234,0
235,0
236,1
237,1
238,0
239,0
240,0
241,0
242,1
243,1
244,0
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,0
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,0
262,1
263,1
264,0
265,1
266,0
267,0
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,0
276,1
277,1
278,0
279,1
280,1
281,1
282,1
283,0
284,1
285,1
286,0
287,1
288,1
289,0
290,0
291,1
292,1
293,0
294,1
295,1
296,0
297,0
298,1
299,0
300,0
301,1
302,0
303,0
304,1
305,1
306,0
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,0
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,0
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,0
333,1
334,0
335,1
336,1
337,1
338,1
339,1
340,0
341,1
342,0
343,0
344,1
345,0
346,1
347,0
348,1
349,1
350,1
351,0
352,0
353,1
354,1
355,1
356,1
357,0
358,1
359,1
360,1
361,1
362,0
363,1
364,1
365,0
366,1
367,1
368,0
369,0
370,1
371,1
372,1
373,0
374,1
375,1
376,1
377,1
378,1
379,0
380,1
381,0
382,0
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,0
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,1
400,0
401,1
402,0
403,1
404,1
405,1
406,0
407,1
408,0
409,1
410,1
411,1
412,1
413,1
414,0
415,1
416,1
417,1
418,1
419,1
420,1
421,1
422,0
423,0
424,1
425,1
426,1
427,0
428,1
429,0
430,0
431,1
432,1
433,1
434,1
435,1
436,0
437,1
438,0
439,0
440,1
441,1
442,1
443,0
444,0
445,0
446,0
447,1
448,0
449,1
450,1
451,0
452,1
453,0
454,0
455,1
456,1
457,1
458,1
459,0
460,0
461,0
462,0
463,1
464,1
465,1
466,1
467,1
468,1
469,1
470,0
471,0
472,1
473,0
474,1
475,1
476,0
477,0
478,1
479,1
480,0
481,0
482,1
483,1
484,0
485,1
486,1
487,1
488,1
489,1
490,1
491,1
492,0
493,1
494,0
495,1
496,1
497,1
498,1
499,1
500,1
501,0
502,1
503,1
504,1
505,0
506,1
507,0
508,0
509,1
510,0
511,1
512,0
513,1
514,1
515,0
516,1
517,0
518,1
519,1
520,0
521,1
522,0
523,1
524,1
525,1
526,1
527,1
528,1
529,0
530,1
531,0
532,0
