,0
0,1
1,1
2,1
3,1
4,0
5,1
6,1
7,1
8,1
9,0
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,0
24,1
25,1
26,0
27,0
28,1
29,0
30,0
31,1
32,1
33,0
34,0
35,0
36,0
37,1
38,0
39,1
40,0
41,1
42,1
43,1
44,1
45,1
46,0
47,0
48,1
49,1
50,0
51,0
52,1
53,1
54,1
55,1
56,1
57,0
58,0
59,0
60,1
61,1
62,1
63,1
64,1
65,0
66,0
67,1
68,1
69,1
70,1
71,1
72,1
73,0
74,1
75,0
76,1
77,1
78,1
79,1
80,0
81,0
82,1
83,0
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,0
94,1
95,1
96,0
97,0
98,0
99,0
100,1
101,0
102,1
103,1
104,0
105,1
106,1
107,1
108,1
109,0
110,0
111,1
112,1
113,1
114,0
115,1
116,0
117,0
118,1
119,0
120,0
121,1
122,1
123,1
124,1
125,1
126,0
127,1
128,1
129,1
130,1
131,1
132,0
133,1
134,1
135,1
136,1
137,0
138,1
139,1
140,1
141,1
142,1
143,1
144,0
145,1
146,0
147,0
148,1
149,1
150,0
151,1
152,1
153,1
154,0
155,1
156,1
157,1
158,1
159,1
160,0
161,1
162,0
163,1
164,0
165,1
166,1
167,1
168,1
169,0
170,1
171,0
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,0
180,1
181,0
182,0
183,1
184,0
185,0
186,1
187,1
188,1
189,0
190,0
191,1
192,1
193,1
194,0
195,1
196,1
197,1
198,1
199,1
200,0
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,0
212,0
213,1
214,1
215,0
216,1
217,0
218,1
219,0
220,1
221,1
222,0
223,1
224,1
225,0
226,0
227,0
228,0
229,1
230,0
231,0
232,0
233,1
234,0
235,0
236,1
237,1
238,1
239,1
240,1
241,1
242,0
243,1
244,1
245,0
246,1
247,0
248,0
249,1
250,0
251,1
252,1
253,1
254,1
255,0
256,1
257,1
258,1
259,1
260,0
261,1
262,0
263,1
264,1
265,0
266,1
267,1
268,0
269,1
270,1
271,1
272,1
273,1
274,0
275,0
276,0
277,0
278,1
279,0
280,0
281,1
282,1
283,1
284,1
285,0
286,1
287,0
288,0
289,1
290,0
291,1
292,1
293,0
294,1
295,1
296,0
297,1
298,0
299,1
300,1
301,0
302,0
303,1
304,1
305,1
306,1
307,0
308,1
309,0
310,1
311,0
312,1
313,1
314,1
315,0
316,0
317,0
318,1
319,1
320,1
321,1
322,1
323,0
324,0
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,0
337,1
338,1
339,1
340,1
341,1
342,0
343,0
344,1
345,1
346,1
347,0
348,1
349,1
350,1
351,1
352,1
353,0
354,1
355,1
356,1
357,0
358,1
359,0
360,1
361,1
362,0
363,0
364,0
365,0
366,1
367,1
368,1
369,1
370,1
371,0
372,1
373,1
374,1
375,1
376,1
377,1
378,0
379,1
380,1
381,1
382,1
383,1
384,0
385,1
386,0
387,0
388,1
389,1
390,0
391,1
392,1
393,1
394,1
395,1
396,1
397,0
398,0
399,1
400,1
401,1
402,0
403,1
404,1
405,0
406,0
407,1
408,1
409,1
410,1
411,1
412,0
413,1
414,0
415,1
416,0
417,1
418,1
419,0
420,1
421,1
422,1
423,1
424,1
425,0
426,0
427,0
428,1
429,0
430,0
431,0
432,1
433,1
434,1
435,0
436,0
437,1
438,0
439,0
440,1
441,1
442,1
443,1
444,1
445,0
446,1
447,1
448,0
449,0
450,0
451,0
452,1
453,1
454,1
455,1
456,1
457,1
458,0
459,0
460,1
461,1
462,0
463,1
464,1
465,1
466,1
467,1
468,0
469,1
470,0
471,1
472,1
473,0
474,0
475,1
476,1
477,0
478,0
479,1
480,1
481,1
482,1
483,1
484,1
485,1
486,0
487,0
488,1
489,1
490,1
491,1
492,0
493,0
494,1
495,0
496,1
497,1
498,0
499,0
500,1
501,1
502,0
503,1
504,1
505,1
506,0
507,0
508,1
509,0
510,0
511,1
512,0
513,1
514,1
515,1
516,0
517,0
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,1
527,1
528,1
529,0
530,1
531,0
532,1
533,1
534,1
535,0
536,1
537,1
538,1
539,1
540,0
541,1
542,0
543,1
544,0
545,1
546,1
547,0
548,1
549,1
550,0
551,1
552,0
553,0
554,1
555,1
556,1
557,1
558,0
559,1
560,1
561,1
562,1
563,0
564,1
565,1
566,1
567,0
568,1
569,1
570,1
571,1
572,1
573,1
574,1
575,1
576,1
577,1
578,1
579,1
580,0
581,0
582,1
583,0
584,0
585,1
586,0
587,1
588,1
589,1
590,1
591,1
592,1
593,0
594,1
595,1
596,1
597,1
598,1
599,1
600,0
601,1
602,1
603,1
604,0
605,1
606,0
607,1
608,1
609,1
610,0
611,1
612,0
613,1
614,1
615,0
616,0
617,0
618,1
619,1
620,1
621,0
622,1
623,1
624,0
625,1
626,1
627,1
628,0
629,0
630,1
631,0
632,1
633,1
634,0
635,0
636,0
637,1
638,0
639,0
640,0
641,1
642,1
643,1
644,1
645,1
646,0
647,0
648,1
649,1
650,0
651,1
652,1
653,0
654,0
655,0
656,0
657,1
658,0
659,1
660,1
661,1
662,0
663,0
664,1
665,0
666,1
667,0
668,0
669,1
670,1
671,1
672,1
673,1
674,1
675,0
676,1
677,0
678,1
679,1
680,1
681,1
682,0
683,1
684,1
685,0
686,1
687,1
688,0
689,1
690,1
691,0
692,1
693,1
694,1
695,1
696,1
697,0
698,1
699,1
700,0
701,1
702,1
703,0
704,1
705,1
706,1
707,1
708,0
709,1
710,1
711,0
712,1
713,0
714,0
715,1
716,0
717,1
718,1
719,1
720,1
721,0
722,0
723,0
724,1
725,0
726,1
727,0
728,0
729,0
730,0
731,0
732,1
733,0
734,1
735,1
736,1
737,1
738,1
739,1
740,1
741,1
742,1
743,1
744,0
745,0
746,1
747,1
748,0
749,1
750,0
751,0
752,1
753,0
754,0
755,1
756,0
757,0
758,0
759,1
760,1
761,1
762,1
763,0
764,0
765,1
766,1
767,0
768,1
769,1
770,0
771,1
772,1
773,0
774,0
775,1
776,1
777,1
778,1
779,1
780,1
781,1
782,1
783,1
784,1
785,0
786,1
787,1
788,0
789,1
790,0
791,1
792,1
793,1
794,1
795,0
796,0
797,1
798,1
799,0
800,1
801,1
802,0
803,1
804,1
805,1
806,0
807,1
808,1
809,1
810,1
811,0
812,1
